,Borgo Valsugana,Monte Gaza,Parco S. Chiara,Piana Rotaliana,Riva del Garda,Rovereto,"A22_sud,_Termeno,_c/o_Maso_Binnenland","Brunico_1,_c/o_parcheggio_di_via_Goethe","Bressanone,_c/o_Villa_Adele_in_Via_Stazione",Bolzano_4-Via_C.Augusta,Bolzano_5-P.zza_Adriano,"Laces_1-Via_Stazione,_parcheggio_fs","Laives_1,_c/o_campi_sportivi_zona_Galizia","Merano_1,_Via_Trogman",Bergamo-via_Garibaldi_PM10,Brescia-Broletto_PM10,Calusco_d'Adda_PM10,Filago-via_Don_Milani_PM10,Lallio_PM10,Mantova-p.zza_Gramsci_PM10,Mantova-S.Agnese_PM10,Osio_Sotto_PM10,Parona_PM10,Pavia-p.zza_Minerva_PM10,Sannazzaro_de'_Burgondi-AGIP_PM10,Sarezzo-via_Minelli_PM10,Valmadrera_PM10,Vigevano-via_Valletta_PM10,Voghera-via_Pozzoni_PM10,Conegliano,TV_Lancieri,Mansue,TV_S_Agnese,Bissuola,VE_Tagliamento
Borgo Valsugana,1.0358012947367796,0.03472147963994262,0.12628212322449442,0.15278832787259336,0.022963544299705322,0.11443231107861652,0.15398221975053736,0.0011938918779438802,0.014320119588633405,0.13101867545083193,0.039549908671920736,0.0032973408109180815,0.13101867545083196,0.039549908671920736,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Monte Gaza,0.12282059684687292,1.0448409956105733,0.1430982719929936,0.15351512232940476,0.10998284640979854,0.13124845984711572,0.15398221975053733,0.0004670974211324416,0.005602593546141238,0.04399937334073873,0.022733759903421556,0.0018953508827792831,0.043999373340738744,0.02273375990342155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Parco S. Chiara,0.12282059684687295,0.12179671273866449,1.066142554864903,0.15351512232940479,0.10998284640979855,0.13124845984711572,0.15398221975053736,0.00046709742113244167,0.0056025935461412385,0.04399937334073873,0.022733759903421556,0.0018953508827792833,0.043999373340738744,0.022733759903421552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Piana Rotaliana,0.042497927534647935,0.11245595137654259,0.1275762220123069,1.075888541733131,0.029660177097573535,0.11572640986642903,0.15398221975053733,0.0011379608893152347,0.013649256120450615,0.1243220426529637,0.03825580988410821,0.0031894496705917996,0.12432204265296375,0.03825580988410821,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Riva del Garda,0.12282059684687295,0.12179671273866448,0.14309827199299358,0.15351512232940479,1.0330271292817077,0.1312484598471157,0.15398221975053733,0.0004670974211324416,0.005602593546141238,0.04399937334073872,0.022733759903421552,0.0018953508827792831,0.04399937334073874,0.022733759903421552,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rovereto,0.12282059684687295,0.12179671273866448,0.1430982719929936,0.15351512232940479,0.10998284640979854,1.0542927427190247,0.15398221975053733,0.00046709742113244167,0.005602593546141238,0.04399937334073873,0.022733759903421552,0.0018953508827792831,0.043999373340738744,0.02273375990342155,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"A22_sud,_Termeno,_c/o_Maso_Binnenland",0.026408934389173744,0.025277131346834042,0.11019279670661161,0.15211277123505243,0.013571183952099348,0.027309449831341617,1.0770265026224468,0.0018694485154847988,0.02242307431778499,0.1404110357984379,0.12667276991919568,0.010560916773573816,0.14041103579843794,0.12667276991919565,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Brunico_1,_c/o_parcheggio_di_via_Goethe",0.016176472942644807,0.008568901512466106,0.021663585734248373,0.06796348864100886,0.003338722505570412,0.009813773588370498,0.1539822197505373,1.0090630139814374,0.10870619563235052,0.1506434972449668,0.14416844616216676,0.012019560022768376,0.15064349724496687,0.14416844616216676,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Bressanone,_c/o_Villa_Adele_in_Via_Stazione",0.016176472942644807,0.008568901512466106,0.021663585734248373,0.06796348864100885,0.003338722505570412,0.009813773588370498,0.15398221975053727,0.0860187311095284,1.0317504785042597,0.1506434972449668,0.14416844616216676,0.012019560022768376,0.15064349724496687,0.14416844616216673,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bolzano_4-Via_C.Augusta,0.018202059356626887,0.016563603935077845,0.029814168611953015,0.14552908391308217,0.005364308919552492,0.017964356466075145,0.15398221975053727,0.008453135837455047,0.10139102068421069,1.0716621937028936,0.1360178632844621,0.011340032548296448,0.14861791083098477,0.13601786328446208,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
