,Borgo Valsugana,Monte Gaza,Parco S. Chiara,Piana Rotaliana,Riva del Garda,Rovereto,"A22_sud,_Termeno,_c/o_Maso_Binnenland","Brunico_1,_c/o_parcheggio_di_via_Goethe","Bressanone,_c/o_Villa_Adele_in_Via_Stazione",Bolzano_4-Via_C.Augusta,Bolzano_5-P.zza_Adriano,"Laces_1-Via_Stazione,_parcheggio_fs","Laives_1,_c/o_campi_sportivi_zona_Galizia","Merano_1,_Via_Trogman",Bergamo-via_Garibaldi_PM10,Brescia-Broletto_PM10,Calusco_d'Adda_PM10,Filago-via_Don_Milani_PM10,Lallio_PM10,Mantova-p.zza_Gramsci_PM10,Mantova-S.Agnese_PM10,Osio_Sotto_PM10,Parona_PM10,Pavia-p.zza_Minerva_PM10,Sannazzaro_de'_Burgondi-AGIP_PM10,Sarezzo-via_Minelli_PM10,Valmadrera_PM10,Vigevano-via_Valletta_PM10,Voghera-via_Pozzoni_PM10,Conegliano,TV_Lancieri,Mansue,TV_S_Agnese,Bissuola,VE_Tagliamento
Borgo Valsugana,1.301421840880606,0.2838396441365045,0.5504370219535732,0.8202459130961809,0.1818180881593133,0.4457094920314627,0.8420017474196745,0.021755834323493685,0.153159496254614,0.6601836592603613,0.39629225538821183,0.056292093293234854,0.6601836592603612,0.39629225538821183,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Monte Gaza,0.46723289115275063,1.325856600833078,0.6130774295895399,0.8249503763028625,0.34762913843145804,0.5083498996674294,0.8420017474196744,0.01705137111681212,0.12004041637149387,0.4943726089882165,0.3336518477522452,0.04739421647978101,0.4943726089882165,0.33365184775224516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Parco S. Chiara,0.4672328911527508,0.45023583192499644,1.4886981984976217,0.8249503763028625,0.347629138431458,0.5083498996674294,0.8420017474196745,0.017051371116812125,0.12004041637149389,0.49437260898821656,0.3336518477522452,0.04739421647978102,0.4943726089882165,0.33365184775224516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Piana Rotaliana,0.3220452918199988,0.41344491199516475,0.5582281876906192,1.6964518195206104,0.20244153909870605,0.4535006577685086,0.8420017474196745,0.02117069680714642,0.1490401705642797,0.6395602083209685,0.38850108965116603,0.05518538221682687,0.6395602083209685,0.38850108965116603,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Riva del Garda,0.4672328911527507,0.4502358319249964,0.6130774295895399,0.8249503763028625,1.22324990733954,0.5083498996674294,0.8420017474196744,0.01705137111681212,0.12004041637149387,0.49437260898821644,0.33365184775224516,0.04739421647978101,0.49437260898821644,0.33365184775224516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Rovereto,0.4672328911527508,0.4502358319249964,0.61307742958954,0.8249503763028625,0.347629138431458,1.3839706685755113,0.8420017474196744,0.017051371116812125,0.12004041637149389,0.4943726089882165,0.33365184775224516,0.047394216479781016,0.4943726089882165,0.33365184775224516,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"A22_sud,_Termeno,_c/o_Maso_Binnenland",0.26411987135086507,0.2460147920846311,0.4925023864863598,0.8160419755292573,0.14451611862957234,0.278865818599348,1.7176225163277563,0.0259597718904174,0.18275491192389856,0.6974856287901021,0.5631359288203265,0.0799917228028404,0.6974856287901021,0.5631359288203265,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Brunico_1,_c/o_parcheggio_di_via_Goethe",0.22090106774114227,0.18448240448714406,0.31668543936228155,0.6688020880738492,0.10129731501984954,0.21195790944017112,0.8420017474196745,1.0488204282539073,0.3436922752361828,0.7407044323998251,0.6300438379795034,0.08949578505294441,0.740704432399825,0.6300438379795035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Bressanone,_c/o_Villa_Adele_in_Via_Stazione",0.22090106774114224,0.1844824044871441,0.3166854393622816,0.6688020880738491,0.10129731501984952,0.21195790944017112,0.8420017474196745,0.17319965934582546,1.2193130441442648,0.7407044323998251,0.6300438379795035,0.0894957850529444,0.740704432399825,0.6300438379795035,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bolzano_4-Via_C.Augusta,0.2334813085614591,0.2129605851198692,0.3467283406751889,0.7966203715030133,0.11387755584016637,0.2420008107530784,0.8420017474196745,0.04538137591666127,0.319481596126668,1.6037449604875904,0.6000009366665963,0.08522828352973415,0.7281241915795081,0.6000009366665962,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bolzano_5-P.zza_Adriano,0.23348130856145913,0.2129605851198692,0.3467283406751889,0.7966203715030133,0.11387755584016637,0.2420008107530784,0.8420017474196746,0.04538137591666127,0.319481596126668,0.7281241915795083,1.4756217055746783,0.08522828352973415,0.7281241915795081,0.6000009366665963,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Laces_1-Via_Stazione,_parcheggio_fs",0.23526829299095525,0.2170058228937655,0.3509958421983992,0.8147765646598218,0.1156645402696625,0.24626831227628868,0.8420017474196746,0.027225182759852806,0.19166331269750383,0.7263372071500122,0.595733435143386,1.084622098093084,0.726337207150012,0.5957334351433861,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Laives_1,_c/o_campi_sportivi_zona_Galizia",0.3678756515033903,0.22531856219087204,0.3758021827844127,0.8154568380129099,0.12389266769017962,0.2710746528623022,0.8420017474196745,0.02654490940676467,0.18687423761423283,0.718109079729495,0.5709270945573723,0.08109843387924841,1.5937298486375768,0.5709270945573723,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
"Merano_1,_Via_Trogman",0.23526829299095525,0.2170058228937655,0.3509958421983992,0.8147765646598217,0.1156645402696625,0.24626831227628868,0.8420017474196745,0.027225182759852806,0.19166331269750383,0.7263372071500122,0.595733435143386,0.209001329185002,0.726337207150012,1.471354204051468,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
Bergamo-via_Garibaldi_PM10,0.030745377143091113,0.03092111649027329,0.040342401289734875,0.05428430002260793,0.07790525031851264,0.034745202858962,0.05540633326495902,0.0011220332423510996,0.00789903267436856,0.03253125497020597,0.021955329104342305,0.0031186868212062335,0.03253125497020597,0.0219553291043423,1.5731575170496437,0.06284703832731536,0.7237483758274004,0.7634690615327552,0.6975367481415616,0.0012941986983452882,0.009111065001901076,0.6975367481415616,0.08776446731480878,0.3545620846858861,0.08776446731480878,0.43203332946882966,0.657816062436207,0.08776446731480876,0.08776446731480876,0.0,0.0,0.0,0.0,0.0,0.0
Brescia-Broletto_PM10,0.06580469582460784,0.08584857659964706,0.08634532057779037,0.11618533200664213,0.12740604491566304,0.09403331406854937,0.11858683308026301,0.0024015010736208944,0.01690639344010343,0.06962703134666902,0.0469912516186214,0.006674962440257655,0.06962703134666902,0.046991251618621395,0.6333743471732438,1.089589290212809,0.5094463930346849,0.6841604045682743,0.6333743471732439,0.022437732606907727,0.1579600107295656,0.6333743471732439,0.06760283455926008,0.273110550150424,0.06760283455926008,0.45030436418898784,0.45866033563965464,0.06760283455926008,0.06760283455926008,0.0,0.0,0.0,0.0,0.0,0.0
Calusco_d'Adda_PM10,0.021048784154751945,0.021169098163883095,0.027619062634358767,0.037163912768083625,0.05333519868188638,0.0237871297524709,0.03793207493512381,0.0007681621670401894,0.005407805961211919,0.022271425097965907,0.015030974614916759,0.002135103610546884,0.022271425097965907,0.015030974614916759,0.6773663742498774,0.043026102375014974,1.6366643390176177,0.7718855327488294,0.6773663742498774,0.0008860294322638475,0.006237582962550357,0.6773663742498774,0.12581726880240965,0.5082926437193755,0.12581726880240965,0.2957770287651754,0.6665244116105842,0.12581726880240962,0.12581726880240965,0.0,0.0,0.0,0.0,0.0,0.0
