Variable,VIF
temperature_950,133741.98935775238
temperature_850,130467.54626876311
temperature_2m,37018.45912141773
temperature_550,16457.36280021077
surface_pressure,1513.7585062302878
humidity_950,132.36694923270687
humidity_850,92.40043375378464
solar_radiation_downwards,18.099056203648082
blh,9.829937938431984
humidity_550,9.783602702766203
uwind_950,6.755787782485985
wind_u_10m,3.8556863083418578
uwind_850,3.6910287354199482
Vwind_850,3.2077501451109565
Vwind_950,3.138836348657559
wind_v_10m,2.9605377795865015
uwind_550,2.4589386321226456
Vwind_550,2.062261393142758
total_precipitation,1.9274629275536976
