Station,Out_Influence,In_Influence,Self_Multiplier,Max_Impact_Given,Max_Impact_Received,Out_Influence_Rank,In_Influence_Rank,Is_Target
Borgo Valsugana,6.769633000845804,10.230113778814614,1.301421840880606,1.301421840880606,1.301421840880606,24.0,7.0,True
Monte Gaza,6.769633000845803,7.109225582907235,1.325856600833078,1.325856600833078,1.325856600833078,34.5,17.0,True
Parco S. Chiara,6.769633000845804,10.13176499819912,1.4886981984976217,1.4886981984976217,1.4886981984976217,24.0,8.0,True
Piana Rotaliana,6.769633000845804,16.00749422749494,1.6964518195206104,1.6964518195206104,1.6964518195206104,24.0,2.0,True
Riva del Garda,6.769633000845804,5.798964477924632,1.22324990733954,1.22324990733954,1.22324990733954,24.0,18.0,False
Rovereto,6.769633000845804,8.381639268699029,1.3839706685755113,1.3839706685755113,1.3839706685755113,24.0,15.0,False
"A22_sud,_Termeno,_c/o_Maso_Binnenland",6.769633000845803,16.759526162928083,1.7176225163277563,1.7176225163277563,1.7176225163277563,34.5,1.0,False
"Brunico_1,_c/o_parcheggio_di_via_Goethe",6.769633000845804,1.6276527043412252,1.0488204282539073,1.0488204282539073,1.0488204282539073,24.0,33.0,False
"Bressanone,_c/o_Villa_Adele_in_Via_Stazione",6.769633000845804,4.4186295312949,1.2193130441442648,1.2193130441442648,1.2193130441442648,24.0,20.0,False
Bolzano_4-Via_C.Augusta,6.769633000845804,12.851332420762859,1.6037449604875904,1.6037449604875904,1.6037449604875904,24.0,3.0,False
Bolzano_5-P.zza_Adriano,6.769633000845804,9.587918911246918,1.4756217055746783,1.4756217055746783,1.4756217055746783,24.0,9.5,False
"Laces_1-Via_Stazione,_parcheggio_fs",6.769633000845804,2.361934326249103,1.084622098093084,1.084622098093084,1.084622098093084,24.0,31.0,False
"Laives_1,_c/o_campi_sportivi_zona_Galizia",6.769633000845804,12.851332420762857,1.5937298486375768,1.5937298486375768,1.5937298486375768,24.0,4.0,False
"Merano_1,_Via_Trogman",6.769633000845804,9.587918911246918,1.471354204051468,1.471354204051468,1.471354204051468,24.0,9.5,False
Bergamo-via_Garibaldi_PM10,6.769633000845806,8.880745933151548,1.5731575170496437,1.5731575170496437,1.5731575170496437,5.5,12.0,False
Brescia-Broletto_PM10,6.769633000845806,2.159348890407467,1.089589290212809,1.089589290212809,1.089589290212809,5.5,32.0,False
Calusco_d'Adda_PM10,6.769633000845805,10.602601676128929,1.6366643390176177,1.6366643390176177,1.6366643390176177,11.5,6.0,False
Filago-via_Don_Milani_PM10,6.769633000845806,10.669623681313706,1.6475063016569116,1.6475063016569116,1.6475063016569116,5.5,5.0,False
Lallio_PM10,6.769633000845807,8.880745933151548,1.573157517049644,1.573157517049644,1.573157517049644,1.5,12.0,False
Mantova-p.zza_Gramsci_PM10,6.769633000845804,1.2100320170178631,1.0249475748019286,1.0249475748019286,1.0249475748019286,24.0,35.0,False
Mantova-S.Agnese_PM10,6.769633000845804,1.4786101716659308,1.0512498867172557,1.0512498867172557,1.0512498867172557,24.0,34.0,False
Osio_Sotto_PM10,6.769633000845807,8.880745933151548,1.573157517049644,1.573157517049644,1.573157517049644,1.5,12.0,False
Parona_PM10,6.769633000845804,3.5467933852750617,1.2464372794854408,1.2464372794854408,1.2464372794854408,24.0,23.5,False
Pavia-p.zza_Minerva_PM10,6.769633000845804,7.288860624064724,1.4980718170902603,1.4980718170902603,1.4980718170902603,24.0,16.0,False
Sannazzaro_de'_Burgondi-AGIP_PM10,6.769633000845804,3.5467933852750626,1.246437279485441,1.246437279485441,1.246437279485441,24.0,21.0,False
Sarezzo-via_Minelli_PM10,6.769633000845806,5.4730899424716695,1.290085570127144,1.290085570127144,1.290085570127144,5.5,19.0,False
Valmadrera_PM10,6.769633000845806,8.813723927966773,1.5421451805186663,1.5421451805186663,1.5421451805186663,5.5,14.0,False
Vigevano-via_Valletta_PM10,6.769633000845804,3.5467933852750617,1.2464372794854408,1.2464372794854408,1.2464372794854408,24.0,23.5,False
Voghera-via_Pozzoni_PM10,6.769633000845804,3.546793385275062,1.2464372794854408,1.2464372794854408,1.2464372794854408,24.0,22.0,False
Conegliano,6.769633000845805,3.4510675058564617,1.3048618917328116,1.3048618917328116,1.3048618917328116,11.5,29.0,False
TV_Lancieri,6.769633000845805,3.4510675058564617,1.304861891732812,1.304861891732812,1.304861891732812,11.5,29.0,False
Mansue,6.769633000845805,3.451067505856462,1.3048618917328119,1.3048618917328119,1.3048618917328119,11.5,27.0,False
TV_S_Agnese,6.769633000845806,3.4510675058564626,1.3048618917328123,1.3048618917328123,1.3048618917328123,5.5,25.5,False
Bissuola,6.769633000845805,3.4510675058564626,1.304861891732812,1.304861891732812,1.304861891732812,11.5,25.5,False
VE_Tagliamento,6.769633000845805,3.4510675058564617,1.304861891732812,1.304861891732812,1.304861891732812,11.5,29.0,False
