Variable,Morans_I,Expected_I,Variance_I,Z_score,P_value,Significant,Pattern
pm10,0.6813378572089764,-0.027777777777777776,0.006184532082351998,9.011222794691296,0.001,Yes,Clustered
temperature_2m,0.5503232939318149,-0.027777777777777776,0.0065326172087398745,7.14739057338213,0.001,Yes,Clustered
humidity_950,0.32401201722356154,-0.027777777777777776,0.006260742983482188,4.458891888106531,0.001,Yes,Clustered
blh,0.48559219389162,-0.027777777777777776,0.00623422968035842,6.501710350211182,0.001,Yes,Clustered
solar_radiation_downwards,0.3066570316121692,-0.027777777777777776,0.005808296224792933,4.4053323504829995,0.001,Yes,Clustered
wind_u_10m,0.5073167728111143,-0.027777777777777776,0.004979412423984116,7.579898262470598,0.001,Yes,Clustered
wind_v_10m,0.672601402284466,-0.027777777777777776,0.006971753548481476,8.368351249698504,0.001,Yes,Clustered
uwind_850,0.606738669997398,-0.027777777777777776,0.006097197839085127,8.13632400497685,0.001,Yes,Clustered
uwind_950,0.6895176717845413,-0.027777777777777776,0.0066022074909327265,8.89409555837235,0.001,Yes,Clustered
Vwind_850,0.42408044148862767,-0.027777777777777776,0.006698499386866405,5.537291363305885,0.001,Yes,Clustered
Vwind_950,0.32154998806588386,-0.027777777777777776,0.0063372030978742,4.35074626850621,0.001,Yes,Clustered
total_precipitation,0.30181427370076364,-0.027777777777777776,0.006219066968457916,4.168127837217908,0.001,Yes,Clustered
