Station,Variable,Value,Local_Morans_I,P_value,Z_score,Quadrant,Cluster_Type,Significant
402201,pm10,22.575902346445826,0.24967571070603317,0.009,2.257961627694886,3,Low-Low,True
402203,pm10,10.107018633540374,1.6464587527010328,0.008,2.38123556036871,3,Low-Low,True
402204,pm10,19.66073553010851,0.7326524460051992,0.006,2.722777191603446,3,Low-Low,True
402206,pm10,18.508967917586357,0.8787866250757551,0.006,2.6687869293195883,3,Low-Low,True
402209,pm10,19.7027104899931,0.7046573365784213,0.006,2.6416223741629157,3,Low-Low,True
402211,pm10,23.006873706004143,0.26183817592708164,0.001,2.9767593198993483,3,Low-Low,True
402212,pm10,17.282385540641293,1.1083257723148572,0.003,2.8164765259891373,3,Low-Low,True
402213,pm10,18.590655300844027,0.8687471770290043,0.003,2.6633101597480664,3,Low-Low,True
502604,pm10,24.064248512068495,-0.06032290271399313,0.017,-2.031601529961903,2,Low-High,True
502608,pm10,31.23660562168193,0.6256743247127299,0.052,1.65991889451421,1,Not Significant,False
502609,pm10,27.49789538418078,0.31580175917216974,0.027,1.837434708444999,1,High-High,True
502612,pm10,33.5146010174568,0.7635362073015372,0.056,1.5608142605079902,1,Not Significant,False
502701,pm10,30.394882653753992,0.5649738864803182,0.038,1.707225920615497,1,High-High,True
502720,pm10,34.574821119639026,0.8145447341150495,0.059,1.5247294881980702,1,Not Significant,False
AB2,pm10,16.919520592136408,0.942181666797367,0.011,2.315171327492667,3,Low-Low,True
ARPAL_001,pm10,30.57589459693671,0.3941293522532094,0.131,1.1698252694209996,1,Not Significant,False
ARPAL_002,pm10,30.881695539645374,0.7149618116889013,0.019,2.012979714006051,1,High-High,True
ARPAL_005,pm10,26.36485331680084,0.19638869743125292,0.026,1.8727666865896884,1,High-High,True
ARPAL_007,pm10,30.073648903973954,0.5251549175379945,0.043,1.6811414923267856,1,High-High,True
ARPAL_008,pm10,29.327813285367935,0.3343863810180313,0.118,1.2294601202251807,1,Not Significant,False
ARPAL_011,pm10,31.69862098904416,-0.04516502701475288,0.471,-0.08247473235256349,4,Not Significant,False
ARPAL_012,pm10,30.63723594516918,-0.014490277245284568,0.493,-0.026039856653526483,4,Not Significant,False
ARPAL_017,pm10,28.759242332480973,0.30333098043542156,0.108,1.2529956233049706,1,Not Significant,False
ARPAL_019,pm10,30.920738057530652,0.5903564565926892,0.052,1.6466415243798347,1,Not Significant,False
ARPAL_020,pm10,34.91351678867141,1.0759489328068608,0.02,1.914353653038352,1,High-High,True
ARPAL_022,pm10,29.032935976193468,0.5621864711826643,0.011,2.1825620893462387,1,High-High,True
ARPAL_023,pm10,27.40786552114446,0.23127738250845772,0.085,1.385548626066016,1,Not Significant,False
ARPAL_026,pm10,23.098436417867283,-0.17784765755498239,0.019,-2.031580552674371,2,Low-High,True
ARPAL_027,pm10,32.149324144642435,0.6698428570425635,0.06,1.5915369571122457,1,Not Significant,False
ARPAL_028,pm10,26.822212388400988,0.3025586557963034,0.008,2.3064486864342673,1,High-High,True
BR1,pm10,14.477962549403282,1.6320197498746403,0.002,3.0457883268116714,3,Low-Low,True
BX1,pm10,15.49530345018019,1.5017176482073624,0.002,3.0799302551826524,3,Low-Low,True
BZ4,pm10,19.229030674641,0.9019424913596584,0.002,3.059934014163083,3,Low-Low,True
BZ5,pm10,16.81389204145472,1.2405871511568132,0.002,2.9663838659684156,3,Low-Low,True
LA1,pm10,17.18692931677451,1.144721721089004,0.003,2.870534465842402,3,Low-Low,True
LS1,pm10,18.200755905363646,0.8839309250158907,0.007,2.564333220549734,3,Low-Low,True
ME1,pm10,17.20281654897109,1.1426915661378896,0.003,2.8714113457708965,3,Low-Low,True
402201,temperature_2m,280.29169704937885,0.7205193979418295,0.069,1.5214710077266456,3,Not Significant,False
402203,temperature_2m,281.6423489996549,0.39188918621506424,0.117,1.194538005633606,3,Not Significant,False
402204,temperature_2m,284.17244330402,0.055921684570574774,0.078,1.4759852007958583,3,Not Significant,False
402206,temperature_2m,283.7671080298654,0.12396341124562799,0.079,1.4309745284692645,3,Not Significant,False
402209,temperature_2m,282.86628553026225,0.38398038809302426,0.029,1.9878055476207943,3,Low-Low,True
402211,temperature_2m,282.86628553026225,0.28036304738756046,0.078,1.4576918940332517,3,Not Significant,False
402212,temperature_2m,282.06351277089374,0.43280355096678175,0.077,1.526402733096795,3,Not Significant,False
402213,temperature_2m,282.8114432874224,0.2629143041484719,0.096,1.3253808499514312,3,Not Significant,False
502604,temperature_2m,286.29953854001036,0.30773412068272754,0.069,1.4669665435376953,1,Not Significant,False
502608,temperature_2m,286.8218732925811,0.37609024578562344,0.079,1.411457921139559,1,Not Significant,False
502609,temperature_2m,287.3945027404589,0.44067723372199524,0.089,1.3535348720449258,1,Not Significant,False
502612,temperature_2m,286.8218732925811,0.37609024578562344,0.08,1.412170374212286,1,Not Significant,False
502701,temperature_2m,288.1045036231194,0.5057245200249312,0.113,1.2802012580073259,1,Not Significant,False
502720,temperature_2m,287.73284020445135,0.47375020130780077,0.106,1.318642574299901,1,Not Significant,False
AB2,temperature_2m,281.88984272853696,0.39641795746241637,0.105,1.30850095938641,3,Not Significant,False
ARPAL_001,temperature_2m,285.4391125747067,0.1261429385736607,0.128,1.1822070669901663,1,Not Significant,False
ARPAL_002,temperature_2m,286.88305254546236,0.3918031255449039,0.067,1.4848686379188223,1,Not Significant,False
ARPAL_005,temperature_2m,286.09626616128367,0.25205006199199465,0.083,1.4038251714426504,1,Not Significant,False
ARPAL_007,temperature_2m,286.2134910871118,0.2670245346975152,0.085,1.3910967554501732,1,Not Significant,False
ARPAL_008,temperature_2m,285.81626220500345,0.16763807530818572,0.135,1.140718871874765,1,Not Significant,False
ARPAL_011,temperature_2m,287.58883139335745,0.19700139651258655,0.274,0.6628410024618205,1,Not Significant,False
