variable,coefficient,effect_type,z_stat,p_value,significance,cluster_id
W_log_pm10,0.8085198945647878,Endogenous (ρ),,,,0
temperature_2m,-0.10698855494565829,Direct (β),-1.7357299079781707,0.0826116026511006,*,0
humidity_950,0.05589423225664871,Direct (β),3.5495937915425317,0.0003858259966329038,***,0
blh,-0.019460569449289963,Direct (β),-1.518590666065404,0.1288655620542743,,0
solar_radiation_downwards,-0.3544258296018479,Direct (β),-6.634210460543357,3.262440615269641e-11,***,0
wind_u_10m,-0.0003598013211354653,Direct (β),-0.06986377089960083,0.9443020892745265,,0
wind_v_10m,0.0162228869167007,Direct (β),2.8198462981482275,0.0048046657096810965,***,0
uwind_850,0.03879943944192769,Direct (β),2.489726168206667,0.012784155021042534,**,0
uwind_950,-0.013011337310026065,Direct (β),-1.1457556500800818,0.2518962704437496,,0
Vwind_850,-0.10724828170627393,Direct (β),-5.846845913184897,5.009811651253508e-09,***,0
Vwind_950,0.02857281665714399,Direct (β),3.210067549380042,0.0013270378285646456,***,0
total_precipitation,-0.016527941010965067,Direct (β),-1.559965358694175,0.11876806765676969,,0
lag_temperature_2m,0.01550836627000822,Indirect (θ),1.512492206654424,0.13040869374673195,,0
lag_humidity_950,-0.013961040096768372,Indirect (θ),-4.790360862984455,1.6648163227013029e-06,***,0
lag_blh,-0.010412837488278731,Indirect (θ),-4.603600719608706,4.152482304477777e-06,***,0
lag_solar_radiation_downwards,0.05684032532536862,Indirect (θ),6.19796755489875,5.719692714487253e-10,***,0
lag_wind_u_10m,-0.006550128495225144,Indirect (θ),-4.468910599179658,7.86189789603062e-06,***,0
lag_wind_v_10m,-0.0006245571784562927,Indirect (θ),-0.4149353027123684,0.6781892655324151,,0
lag_uwind_850,-0.009177281491362242,Indirect (θ),-2.9043077796133963,0.003680661369221607,***,0
lag_uwind_950,0.0074888636733784,Indirect (θ),2.868388850738722,0.004125681307587196,***,0
lag_Vwind_850,0.022104352569609537,Indirect (θ),6.49010135734782,8.577864584669689e-11,***,0
lag_Vwind_950,-0.00789186656404031,Indirect (θ),-4.018463664372153,5.8578840240055004e-05,***,0
lag_total_precipitation,-0.0002973682809442597,Indirect (θ),-0.1596047783506636,0.8731924146597652,,0
W_log_pm10,0.8085198945647878,Direct (β),134.44169416552293,0.0,***,0
W_log_pm10,0.7359981066677241,Endogenous (ρ),,,,1
temperature_2m,-0.14911453266764926,Direct (β),-2.7988901775559203,0.005127857475805791,***,1
humidity_950,0.016291733129058864,Direct (β),0.8595804935996171,0.3900203314535048,,1
blh,0.08060236384503791,Direct (β),5.102152839536027,3.358113725538105e-07,***,1
solar_radiation_downwards,0.14647133383348224,Direct (β),2.433374454545717,0.014958821972411673,**,1
wind_u_10m,-0.10934103533411467,Direct (β),-5.0586408751528396,4.2225524277904343e-07,***,1
wind_v_10m,-0.09529368093465317,Direct (β),-4.865914567181988,1.1392872691782898e-06,***,1
uwind_850,0.47775330746603883,Direct (β),6.677542658734746,2.4298189672444773e-11,***,1
uwind_950,0.19285247240001097,Direct (β),2.4044158992061777,0.01619833288997328,**,1
Vwind_850,0.020853806328460144,Direct (β),1.0235232430093963,0.30606051606287654,,1
Vwind_950,0.3452630599831129,Direct (β),10.286985802719462,8.066192823589633e-25,***,1
total_precipitation,-0.02118536506244588,Direct (β),-1.6516591930650804,0.09860404581187596,*,1
lag_temperature_2m,0.019074108711401548,Indirect (θ),2.1594843023527965,0.030812613878364384,**,1
lag_humidity_950,-0.013878768693556899,Indirect (θ),-4.253078745124719,2.1085138927822434e-05,***,1
lag_blh,-0.02394894903233415,Indirect (θ),-8.649939108459941,5.152691678683734e-18,***,1
lag_solar_radiation_downwards,-0.027861385735518072,Indirect (θ),-2.7349410147401727,0.006239145519999453,***,1
lag_wind_u_10m,0.028063758388272107,Indirect (θ),4.66212519262333,3.129607056337163e-06,***,1
lag_wind_v_10m,0.0012504623983661534,Indirect (θ),0.23630715999410598,0.8131943313837329,,1
lag_uwind_850,-0.03830269409321438,Indirect (θ),-3.4966031040932233,0.00047122235550694846,***,1
