variable,coefficient,effect_type,z_stat,p_value,significance
W_log_pm10,0.7869920213418979,Endogenous (ρ),,,
temperature_2m,-0.3363915491111491,Direct (β),-12.212800357992334,2.655877706872608e-34,***
humidity_950,0.06041863411383053,Direct (β),7.636824323681459,2.22644958726571e-14,***
blh,-0.001581769984959118,Direct (β),-0.24556437710660367,0.8060194678816354,
solar_radiation_downwards,-0.13765152063009212,Direct (β),-7.531475112950093,5.017027485058063e-14,***
wind_u_10m,-0.007916203993164343,Direct (β),-2.557805194311885,0.010533508199871349,**
wind_v_10m,0.002547052599347295,Direct (β),0.7973240975303352,0.4252628286397613,
uwind_850,0.03957523647302054,Direct (β),4.732079331310572,2.222315211186052e-06,***
uwind_950,-0.002147828976386622,Direct (β),-0.32109770297133594,0.7481363509820738,
Vwind_850,-0.048557077846750105,Direct (β),-5.08238951455413,3.7271611206373324e-07,***
Vwind_950,0.037543191530064655,Direct (β),6.691181885176087,2.213753020867044e-11,***
total_precipitation,-0.043729610789682405,Direct (β),-7.170227282604433,7.487335766854808e-13,***
lag_temperature_2m,0.05374142657952344,Indirect (θ),11.6335560468161,2.782591359125419e-31,***
lag_humidity_950,-0.01441164193600629,Indirect (θ),-9.70220904793773,2.95040362566342e-22,***
lag_blh,-0.014323196383199649,Indirect (θ),-12.24983259238972,1.6834305978698042e-34,***
lag_solar_radiation_downwards,0.020167099700412867,Indirect (θ),6.40504993147303,1.5032017787069202e-10,***
lag_wind_u_10m,-0.0038966940806135844,Indirect (θ),-4.65560309886275,3.2303370686003177e-06,***
lag_wind_v_10m,0.00125057815182071,Indirect (θ),1.5244267194294516,0.1274021497008546,
lag_uwind_850,-0.006934173432208231,Indirect (θ),-4.083792125487303,4.430666884581022e-05,***
lag_uwind_950,0.00398622536400464,Indirect (θ),2.6482702767480566,0.008090481426855653,***
lag_Vwind_850,0.010459532699347292,Indirect (θ),5.847994677663583,4.975344688902815e-09,***
lag_Vwind_950,-0.008209377548380008,Indirect (θ),-6.718598338357227,1.8348089959340893e-11,***
lag_total_precipitation,0.003977142218141922,Indirect (θ),3.65428825998369,0.00025789639364933494,***
W_log_pm10,0.7869920213418979,Direct (β),311.10633284742613,0.0,***
