variable,coefficient,effect_type,z_stat,p_value,significance
W_log_pm10,0.137760689995955,Endogenous (ρ),,,
temperature_2m,-0.15840388335528582,Direct (β),-7.121388128393338,1.0684544005951127e-12,***
humidity_950,0.09903477008911435,Direct (β),16.03337496897928,7.471249297932964e-58,***
blh,0.042290749218858434,Direct (β),5.780224648856919,7.460094255239683e-09,***
solar_radiation_downwards,-0.23876524179092445,Direct (β),-12.071387522234478,1.4959055740903342e-33,***
wind_u_10m,0.013588297843303045,Direct (β),3.3596204530270612,0.0007804961878327107,***
wind_v_10m,0.012880636988325811,Direct (β),3.3002157313454106,0.0009661053250366357,***
uwind_850,0.023276314810477268,Direct (β),3.9146265397056808,9.0544243122351e-05,***
uwind_950,0.0014108146826579647,Direct (β),0.2814076217890384,0.7783977728880871,
Vwind_850,-0.05463631343809879,Direct (β),-8.626284991326742,6.3376978074571044e-18,***
Vwind_950,0.003053694729537638,Direct (β),0.7101528933789236,0.4776093289970632,
total_precipitation,-0.03322225440654052,Direct (β),-7.033196047525334,2.0185542535708096e-12,***
lag_temperature_2m,0.025151779901123664,Indirect (θ),6.727620743767198,1.7245971255500015e-11,***
lag_humidity_950,-0.021731782411814535,Indirect (θ),-19.198644414922462,3.7987726121676124e-82,***
lag_blh,-0.01587313892582018,Indirect (θ),-12.16889320494117,4.552130203671608e-34,***
lag_solar_radiation_downwards,0.038199362642685565,Indirect (θ),11.25573975876792,2.169976239921133e-29,***
lag_wind_u_10m,-0.004646036499174859,Indirect (θ),-4.552069042716347,5.312089564821301e-06,***
lag_wind_v_10m,-0.0008901189816563677,Indirect (θ),-1.034082475713134,0.30109760799910734,
lag_uwind_850,-0.003212045157583959,Indirect (θ),-2.7300850705923305,0.006331798402843874,***
lag_uwind_950,0.0007986558751485978,Indirect (θ),0.6722405205473251,0.5014305886581651,
lag_Vwind_850,0.01273045530394602,Indirect (θ),10.982621038272672,4.632836221710346e-28,***
lag_Vwind_950,-0.000831785262281668,Indirect (θ),-0.890864667724014,0.373001777245637,
lag_total_precipitation,0.0016443817909550414,Indirect (θ),1.990123505271206,0.04657733210266714,**
W_log_pm10,0.137760689995955,Direct (β),262.9265546562644,0.0,***
